,id,length,diameter,color
243,70239202173098807,9.5,3.5,
244,70239202156221380,16.0,2.5,
245,70239202173101531,25.0,4.2,
246,70239202173068331,19.0,5.5,темно-красный
247,70239202149053155,11.0,3.5,
248,70239202061685937,70.0,4.8,зеленый
249,70239201931460448,38.0,5.5,цинк
250,70239201931547172,41.0,3.5,
251,70239202173045525,65.0,4.8,
252,70239201931456010,20.0,4.0,
253,70239202148927235,20.0,2.5,
254,70239202149072935,64.0,6.3,
255,70239202156239988,40.0,5.0,
256,70239202173030549,25.0,5.5,белый
257,70239202173191321,19.0,4.2,
258,70239202157983864,55.0,3.5,
259,70239202173132639,150.0,6.0,желтый
260,70239202173480968,29.0,4.8,цинк
261,70239201931544103,25.0,4.2,цинк
262,70239202189558848,19.0,5.5,RAL 1014
263,70239201931544574,38.0,6.3,красный цинк
264,70239202173191942,11.0,3.5,
265,70239201931544926,41.0,4.2,ярко-синий
266,70239202188749030,16.0,2.5,
267,70239202173132879,12.0,2.5,желтый
268,70239201931546723,80.0,6.3,цинк
269,70239201931455305,75.0,4.2,
270,70239202173088293,16.0,4.2,белый
271,70239202188624657,35.0,4.8,RAL 3005
272,70239202149059891,25.0,3.5,
273,70239201931461408,16.0,3.5,
274,70239202186276854,32.0,4.2,цинк
275,70239202173046753,100.0,6.0,желтый цинк
276,70239202173130340,25.0,3.5,желтый цинк
277,70239202173100536,19.0,5.5,зеленый
278,70239202173062999,80.0,5.0,желтый
279,70239202173481486,16.0,4.2,цинк
280,70239202189641659,40.0,3.0,
281,70239202173097039,90.0,4.2,
282,70239202173085616,35.0,3.9,белый цинк
283,70239201931544345,32.0,4.2,красный
284,70239201931453868,55.0,3.5,
285,70239202149078727,25.0,2.5,
286,70239201940747272,32.0,3.5,
287,70239202186110243,13.0,4.2,цинк
288,70239201976605673,29.0,4.8,
289,70239202173481027,51.0,3.5,
290,70239201931463664,65.0,4.2,
291,70239202156180716,40.0,3.5,
292,70239202173081568,51.0,4.8,RAL 7004
293,70239201931547570,13.0,3.9,
294,70239202173039100,25.0,5.5,
295,70239202173066403,38.0,4.8,синий насыщенный
296,70239201931551262,38.0,5.5,цинк
297,70239202189763448,16.0,5.0,
298,70239202157984520,41.0,4.2,
299,70239202172903921,32.0,4.2,
300,70239201942561401,60.0,6.0,
301,70239201931461407,19.0,6.3,цинк
302,70239202157976698,14.0,4.2,
303,70239202173110435,60.0,4.0,желтый цинк
304,70239202173056548,41.0,3.5,черный
305,70239201940729547,127.0,4.8,
306,70239202173083118,75.0,4.2,желтый
307,70239202173095076,4.8,51.0,красный
308,70239201931546348,38.0,6.3,
309,70239201931807329,100.0,4.8,
310,70239202157982497,16.0,3.5,
311,70239202164370422,16.0,4.2,
312,70239202173034581,65.0,4.8,земельно-коричневый
313,70239201940745390,4.8,29.0,
314,70239201931549003,25.0,5.5,синий цинк
315,70239201940711447,100.0,4.8,
316,70239202153673691,70.0,6.0,
317,70239202187688692,45.0,3.5,
318,70239202173127923,38.0,4.8,рубиново-красный
319,70239202173092346,28.0,4.8,
320,70239202173127311,100.0,4.8,
321,70239202188648583,28.0,4.8,RAL 5005
322,70239201940756381,32.0,5.5,
323,70239202173030373,35.0,4.8,RAL 3005
324,70239202157972646,29.0,4.8,
325,70239202184330289,40.0,3.0,
326,70239201931470323,50.0,4.8,
327,70239202157969965,90.0,4.8,
328,70239201940760114,125.0,4.8,
329,70239202149066141,19.0,3.5,
330,70239202190658269,25.0,3.8,
331,70239202173061296,19.0,4.8,коричневый
332,70239202173066930,40.0,6.0,
333,70239202173481024,32.0,3.5,
334,70239202173036842,60.0,5.0,желтый
335,70239202173115661,51.0,4.8,RAL 5005
336,70239202149086572,30.0,3.5,
337,70239202173083504,51.0,4.8,красное вино
338,70239201931460472,55.0,3.5,
339,70239202149030098,45.0,3.5,
340,70239201931550317,25.0,5.5,красный цинк
341,70239201931461677,100.0,6.0,
342,70239202157977890,16.0,4.2,
343,70239202173046651,70.0,5.0,
344,70239201931463509,70.0,4.0,
345,70239202149057438,25.0,3.5,
346,70239202167103891,70.0,5.0,
347,70239202173038519,75.0,4.2,
348,70239202173060204,16.0,3.0,
349,70239202186277194,16.0,3.5,
350,70239201931460610,160.0,10.0,
351,70239202149053116,130.0,6.0,
352,70239202188263025,75.0,4.2,
353,70239202173109647,25.0,3.5,
354,70239201942561392,50.0,5.0,
355,70239202173481091,55.0,3.5,
356,70239201940747055,95.0,4.8,
357,70239202186947365,25.0,3.9,
358,70239201942559809,100.0,5.0,
359,70239202173103132,16.0,4.0,
360,70239202156281066,70.0,5.0,
361,70239202173480997,64.0,3.8,
362,70239202157973684,25.0,5.5,
363,70239202173030224,28.0,4.8,RAL 3009
364,70239202149065960,25.0,3.9,
365,70239202149068606,130.0,6.0,
366,70239201931544248,35.0,4.8,синяя вода цинк
367,70239202156290764,40.0,6.0,
368,70239202173092768,29.0,4.8,RAL 3005
369,70239202149083857,28.0,4.8,
370,70239201940739803,75.0,4.2,
371,70239202156223177,50.0,4.5,
372,70239202173093167,16.0,4.2,
373,70239201931462412,60.0,6.3,
374,70239201931470276,32.0,2.9,
375,70239202157969068,100.0,4.8,
376,70239201931571640,45.0,3.5,
377,70239202187045161,41.0,3.5,
378,70239202173044186,19.0,3.5,
379,70239202149098704,80.0,5.0,
380,70239202173044619,35.0,4.8,RAL 8014
381,70239201931462828,51.0,3.5,
382,70239202176903526,35.0,3.5,
383,70239201931545140,19.0,5.5,светло-зеленый цинк
384,70239202167093787,65.0,4.2,
385,70239202173481048,25.0,3.8,
386,70239202188648509,35.0,3.5,
387,70239202173122724,19.0,4.8,коричневый
388,70239202149000270,25.0,5.0,
389,70239202153674258,80.0,6.0,
390,70239201940756677,70.0,5.0,
391,70239201931470324,19.0,3.5,
392,70239202157979433,32.0,3.9,
393,70239201931544872,25.0,5.5,серый цинк
394,70239202149056939,40.0,4.0,
395,70239202149072882,70.0,4.0,
396,70239202189558770,65.0,4.2,
397,70239202173124173,30.0,4.5,желтый цинк
398,70239202173132503,140.0,6.0,желтый
399,70239202149063233,75.0,4.2,
400,70239201931545402,95.0,4.8,
401,70239202149070861,32.0,4.2,
402,70239202157975352,45.0,3.5,
403,70239201940760040,38.0,4.2,
404,70239201931552907,19.0,5.5,серый цинк
405,70239202157969804,70.0,4.2,
406,70239202173103451,38.0,4.8,шоколадно-коричневый
407,70239202184287135,30.0,4.5,
408,70239202173035286,40.0,4.0,желтый цинк
409,70239202157983209,32.0,4.2,
410,70239202173067993,90.0,5.0,
411,70239202157985545,51.0,3.5,
412,70239202156242114,12.0,3.0,
413,70239202173481360,45.0,3.8,
414,70239202173069796,19.0,6.3,белый цинк
415,70239202173124682,12.0,4.0,
416,70239202156213857,45.0,3.0,
417,70239202173079475,16.0,4.0,желтый цинк
418,70239201931467778,75.0,4.2,
419,70239201931461458,76.0,5.5,цинк
420,70239202153675790,100.0,6.0,
421,70239202153673892,50.0,5.0,
422,70239202157983273,19.0,5.5,
423,70239202173067525,25.0,5.5,синий насыщенный
424,70239202186916788,25.0,4.2,цинк
425,70239202173032516,25.0,3.5,
426,70239201931470862,11.0,3.5,
427,70239202189548590,80.0,6.0,
428,70239202173039440,29.0,4.8,небесно-голубой
429,70239202157978443,40.0,5.0,
430,70239202173092820,9.0,4.8,RAL 6005
431,70239201931461678,19.0,4.2,
432,70239202173069500,51.0,4.8,ярко-синий
433,70239202149072868,35.0,3.5,
434,70239202167083094,75.0,4.2,
435,70239201931544355,70.0,4.8,цинк
436,70239201931455435,120.0,4.8,
437,70239202173077628,35.0,4.8,ультрамарин цинк
438,70239202186277114,51.0,4.2,цинк
439,70239202173098864,50.0,4.2,
440,70239202157978463,25.0,4.2,
441,70239202149030093,127.0,6.3,
442,70239202157977057,95.0,4.8,
443,70239202156278910,16.0,3.0,
444,70239202188749352,100.0,4.8,
445,70239202148927132,75.0,4.2,
446,70239201931545403,50.0,4.8,цинк
447,70239202173098661,29.0,4.8,RAL 3009
448,70239202173058261,51.0,4.8,зеленый
449,70239201931544308,25.0,4.8,
450,70239202173481223,41.0,3.5,
451,70239202189651578,19.0,4.2,
452,70239202149070785,50.0,4.2,
453,70239202149098807,130.0,6.0,
454,70239202149070930,51.0,3.5,
455,70239201931467739,5.5,6.3,
456,70239202173102199,22.0,4.8,белый цинк
457,70239202184258319,30.0,5.0,
458,70239202173103357,30.0,4.0,
459,70239202158262136,30.0,3.0,
460,70239202149057047,41.0,3.5,
461,70239202173057950,40.0,3.0,
462,70239202149059722,51.0,5.5,
463,70239202173123738,19.0,5.5,шоколадно-коричневый
464,70239202156261065,25.0,3.5,
465,70239202187586627,13.0,4.2,
466,70239202173045361,60.0,6.0,
467,70239202157968498,16.0,3.9,
468,70239202172936049,35.0,4.8,темно-зеленый
469,70239202149096765,75.0,4.2,
470,70239202149072961,30.0,5.0,
471,70239202149053630,60.0,5.0,
472,70239201931461409,38.0,6.3,цинк
473,70239202157985552,25.0,3.9,
474,70239202173050918,4.8,29.0,синий
475,70239201931455490,120.0,8.0,
476,70239202188648545,20.0,3.5,
477,70239202186613691,19.0,4.2,
478,70239201931470336,32.0,3.5,
479,70239201931544382,19.0,4.2,коричневый
480,70239202157971368,76.0,4.2,
481,70239202188511559,25.0,5.0,
482,70239202149067707,76.0,4.8,
483,70239202149029133,55.0,3.5,
484,70239202173056116,50.0,6.0,
485,70239202180489080,100.0,5.0,
486,70239202157967303,45.0,6.0,
487,70239202157972330,40.0,6.0,
488,70239202156229621,50.0,6.0,
